rank,nominal_trading_day,phase,replicate,case_id,candidate_id
1,1,P0-baseline,1,jev-technical-p60-m10,baseline-5m-30s-atr1-r1p5-15m
2,1,P0-baseline,1,jev-microstructure-p60-m10,baseline-5m-30s-atr1-r1p5-15m
3,2,P0-baseline,2,jev-technical-p60-m10,baseline-5m-30s-atr1-r1p5-15m
4,2,P0-baseline,2,jev-microstructure-p60-m10,baseline-5m-30s-atr1-r1p5-15m
5,3,P0-baseline,3,jev-technical-p60-m10,baseline-5m-30s-atr1-r1p5-15m
6,3,P0-baseline,3,jev-microstructure-p60-m10,baseline-5m-30s-atr1-r1p5-15m
7,4,P0-baseline,4,jev-technical-p60-m10,baseline-5m-30s-atr1-r1p5-15m
8,4,P0-baseline,4,jev-microstructure-p60-m10,baseline-5m-30s-atr1-r1p5-15m
9,5,P0-baseline,5,jev-technical-p60-m10,baseline-5m-30s-atr1-r1p5-15m
10,5,P0-baseline,5,jev-microstructure-p60-m10,baseline-5m-30s-atr1-r1p5-15m
11,6,P1-threshold,1,jev-technical-p60-m20,baseline-5m-30s-atr1-r1p5-15m
12,6,P1-threshold,1,jev-microstructure-p60-m20,baseline-5m-30s-atr1-r1p5-15m
13,7,P1-threshold,1,jev-technical-p70-m10,baseline-5m-30s-atr1-r1p5-15m
14,7,P1-threshold,1,jev-microstructure-p70-m10,baseline-5m-30s-atr1-r1p5-15m
15,8,P1-threshold,2,jev-technical-p60-m20,baseline-5m-30s-atr1-r1p5-15m
16,8,P1-threshold,2,jev-microstructure-p60-m20,baseline-5m-30s-atr1-r1p5-15m
17,9,P1-threshold,2,jev-technical-p70-m10,baseline-5m-30s-atr1-r1p5-15m
18,9,P1-threshold,2,jev-microstructure-p70-m10,baseline-5m-30s-atr1-r1p5-15m
19,10,P1-threshold,3,jev-technical-p60-m20,baseline-5m-30s-atr1-r1p5-15m
20,10,P1-threshold,3,jev-microstructure-p60-m20,baseline-5m-30s-atr1-r1p5-15m
21,11,P1-threshold,3,jev-technical-p70-m10,baseline-5m-30s-atr1-r1p5-15m
22,11,P1-threshold,3,jev-microstructure-p70-m10,baseline-5m-30s-atr1-r1p5-15m
23,12,P1-threshold,4,jev-technical-p60-m20,baseline-5m-30s-atr1-r1p5-15m
24,12,P1-threshold,4,jev-microstructure-p60-m20,baseline-5m-30s-atr1-r1p5-15m
25,13,P1-threshold,4,jev-technical-p70-m10,baseline-5m-30s-atr1-r1p5-15m
26,13,P1-threshold,4,jev-microstructure-p70-m10,baseline-5m-30s-atr1-r1p5-15m
27,14,P1-threshold,5,jev-technical-p60-m20,baseline-5m-30s-atr1-r1p5-15m
28,14,P1-threshold,5,jev-microstructure-p60-m20,baseline-5m-30s-atr1-r1p5-15m
29,15,P1-threshold,5,jev-technical-p70-m10,baseline-5m-30s-atr1-r1p5-15m
30,15,P1-threshold,5,jev-microstructure-p70-m10,baseline-5m-30s-atr1-r1p5-15m
31,16,P2-operating,1,jev-technical-p60-m10,slow-cadence-5m-60s-atr1-r1p5-15m
32,16,P2-operating,1,jev-microstructure-p60-m10,slow-cadence-5m-60s-atr1-r1p5-15m
33,17,P2-operating,1,jev-technical-p60-m20,slow-cadence-5m-60s-atr1-r1p5-15m
34,17,P2-operating,1,jev-microstructure-p60-m20,slow-cadence-5m-60s-atr1-r1p5-15m
35,18,P2-operating,1,jev-technical-p70-m10,slow-cadence-5m-60s-atr1-r1p5-15m
36,18,P2-operating,1,jev-microstructure-p70-m10,slow-cadence-5m-60s-atr1-r1p5-15m
37,19,P2-operating,1,jev-technical-p60-m10,fast-cadence-5m-15s-atr1-r1p5-15m
38,19,P2-operating,1,jev-microstructure-p60-m10,fast-cadence-5m-15s-atr1-r1p5-15m
39,20,P2-operating,1,jev-technical-p60-m20,fast-cadence-5m-15s-atr1-r1p5-15m
40,20,P2-operating,1,jev-microstructure-p60-m20,fast-cadence-5m-15s-atr1-r1p5-15m
41,21,P2-operating,1,jev-technical-p70-m10,fast-cadence-5m-15s-atr1-r1p5-15m
42,21,P2-operating,1,jev-microstructure-p70-m10,fast-cadence-5m-15s-atr1-r1p5-15m
43,22,P2-operating,1,jev-technical-p60-m10,longer-hold-5m-30s-atr1-r1p5-30m
44,22,P2-operating,1,jev-microstructure-p60-m10,longer-hold-5m-30s-atr1-r1p5-30m
45,23,P2-operating,1,jev-technical-p60-m20,longer-hold-5m-30s-atr1-r1p5-30m
46,23,P2-operating,1,jev-microstructure-p60-m20,longer-hold-5m-30s-atr1-r1p5-30m
47,24,P2-operating,1,jev-technical-p70-m10,longer-hold-5m-30s-atr1-r1p5-30m
48,24,P2-operating,1,jev-microstructure-p70-m10,longer-hold-5m-30s-atr1-r1p5-30m
49,25,P2-operating,1,jev-technical-p60-m10,wide-stop-5m-30s-atr1p5-r1p5-15m
50,25,P2-operating,1,jev-microstructure-p60-m10,wide-stop-5m-30s-atr1p5-r1p5-15m
51,26,P2-operating,1,jev-technical-p60-m20,wide-stop-5m-30s-atr1p5-r1p5-15m
52,26,P2-operating,1,jev-microstructure-p60-m20,wide-stop-5m-30s-atr1p5-r1p5-15m
53,27,P2-operating,1,jev-technical-p70-m10,wide-stop-5m-30s-atr1p5-r1p5-15m
54,27,P2-operating,1,jev-microstructure-p70-m10,wide-stop-5m-30s-atr1p5-r1p5-15m
55,28,P2-operating,2,jev-technical-p60-m10,slow-cadence-5m-60s-atr1-r1p5-15m
56,28,P2-operating,2,jev-microstructure-p60-m10,slow-cadence-5m-60s-atr1-r1p5-15m
57,29,P2-operating,2,jev-technical-p60-m20,slow-cadence-5m-60s-atr1-r1p5-15m
58,29,P2-operating,2,jev-microstructure-p60-m20,slow-cadence-5m-60s-atr1-r1p5-15m
59,30,P2-operating,2,jev-technical-p70-m10,slow-cadence-5m-60s-atr1-r1p5-15m
60,30,P2-operating,2,jev-microstructure-p70-m10,slow-cadence-5m-60s-atr1-r1p5-15m
61,31,P2-operating,2,jev-technical-p60-m10,fast-cadence-5m-15s-atr1-r1p5-15m
62,31,P2-operating,2,jev-microstructure-p60-m10,fast-cadence-5m-15s-atr1-r1p5-15m
63,32,P2-operating,2,jev-technical-p60-m20,fast-cadence-5m-15s-atr1-r1p5-15m
64,32,P2-operating,2,jev-microstructure-p60-m20,fast-cadence-5m-15s-atr1-r1p5-15m
65,33,P2-operating,2,jev-technical-p70-m10,fast-cadence-5m-15s-atr1-r1p5-15m
66,33,P2-operating,2,jev-microstructure-p70-m10,fast-cadence-5m-15s-atr1-r1p5-15m
67,34,P2-operating,2,jev-technical-p60-m10,longer-hold-5m-30s-atr1-r1p5-30m
68,34,P2-operating,2,jev-microstructure-p60-m10,longer-hold-5m-30s-atr1-r1p5-30m
69,35,P2-operating,2,jev-technical-p60-m20,longer-hold-5m-30s-atr1-r1p5-30m
70,35,P2-operating,2,jev-microstructure-p60-m20,longer-hold-5m-30s-atr1-r1p5-30m
71,36,P2-operating,2,jev-technical-p70-m10,longer-hold-5m-30s-atr1-r1p5-30m
72,36,P2-operating,2,jev-microstructure-p70-m10,longer-hold-5m-30s-atr1-r1p5-30m
73,37,P2-operating,2,jev-technical-p60-m10,wide-stop-5m-30s-atr1p5-r1p5-15m
74,37,P2-operating,2,jev-microstructure-p60-m10,wide-stop-5m-30s-atr1p5-r1p5-15m
75,38,P2-operating,2,jev-technical-p60-m20,wide-stop-5m-30s-atr1p5-r1p5-15m
76,38,P2-operating,2,jev-microstructure-p60-m20,wide-stop-5m-30s-atr1p5-r1p5-15m
77,39,P2-operating,2,jev-technical-p70-m10,wide-stop-5m-30s-atr1p5-r1p5-15m
78,39,P2-operating,2,jev-microstructure-p70-m10,wide-stop-5m-30s-atr1p5-r1p5-15m
79,40,P2-operating,3,jev-technical-p60-m10,slow-cadence-5m-60s-atr1-r1p5-15m
80,40,P2-operating,3,jev-microstructure-p60-m10,slow-cadence-5m-60s-atr1-r1p5-15m
81,41,P2-operating,3,jev-technical-p60-m20,slow-cadence-5m-60s-atr1-r1p5-15m
82,41,P2-operating,3,jev-microstructure-p60-m20,slow-cadence-5m-60s-atr1-r1p5-15m
83,42,P2-operating,3,jev-technical-p70-m10,slow-cadence-5m-60s-atr1-r1p5-15m
84,42,P2-operating,3,jev-microstructure-p70-m10,slow-cadence-5m-60s-atr1-r1p5-15m
85,43,P2-operating,3,jev-technical-p60-m10,fast-cadence-5m-15s-atr1-r1p5-15m
86,43,P2-operating,3,jev-microstructure-p60-m10,fast-cadence-5m-15s-atr1-r1p5-15m
87,44,P2-operating,3,jev-technical-p60-m20,fast-cadence-5m-15s-atr1-r1p5-15m
88,44,P2-operating,3,jev-microstructure-p60-m20,fast-cadence-5m-15s-atr1-r1p5-15m
89,45,P2-operating,3,jev-technical-p70-m10,fast-cadence-5m-15s-atr1-r1p5-15m
90,45,P2-operating,3,jev-microstructure-p70-m10,fast-cadence-5m-15s-atr1-r1p5-15m
91,46,P2-operating,3,jev-technical-p60-m10,longer-hold-5m-30s-atr1-r1p5-30m
92,46,P2-operating,3,jev-microstructure-p60-m10,longer-hold-5m-30s-atr1-r1p5-30m
93,47,P2-operating,3,jev-technical-p60-m20,longer-hold-5m-30s-atr1-r1p5-30m
94,47,P2-operating,3,jev-microstructure-p60-m20,longer-hold-5m-30s-atr1-r1p5-30m
95,48,P2-operating,3,jev-technical-p70-m10,longer-hold-5m-30s-atr1-r1p5-30m
